,0,1,2,3,4,5,6,7,8,labels
0,84.0,-5.0,88.0,0.0,0.0,4.0,4.0,88.0,84.0,-1.0
1,104.0,0.0,106.0,1.0,72.0,10.0,1.0,33.0,32.0,-1.0
2,105.0,0.0,106.0,-1.0,70.0,0.0,1.0,36.0,36.0,-1.0
3,105.0,0.0,106.0,6.0,70.0,0.0,2.0,36.0,34.0,-1.0
4,80.0,-1.0,84.0,0.0,-20.0,3.0,4.0,105.0,100.0,-1.0
5,79.0,0.0,83.0,-1.0,-42.0,-29.0,4.0,126.0,122.0,-1.0
6,77.0,0.0,81.0,0.0,-42.0,0.0,4.0,125.0,120.0,-1.0
7,79.0,0.0,84.0,2.0,-32.0,-7.0,4.0,117.0,112.0,-1.0
8,81.0,-5.0,84.0,0.0,-14.0,5.0,4.0,100.0,96.0,-1.0
9,102.0,-1.0,103.0,-3.0,70.0,-13.0,1.0,33.0,32.0,-1.0
10,81.0,1.0,84.0,0.0,-14.0,1.0,3.0,100.0,96.0,-1.0
11,79.0,0.0,83.0,0.0,-28.0,8.0,4.0,112.0,108.0,-1.0
12,106.0,1.0,108.0,0.0,70.0,0.0,1.0,38.0,36.0,-1.0
13,102.0,0.0,103.0,0.0,72.0,5.0,1.0,31.0,30.0,-1.0
14,80.0,-1.0,84.0,-5.0,-36.0,0.0,4.0,120.0,116.0,-1.0
15,86.0,4.0,89.0,0.0,2.0,-5.0,3.0,86.0,84.0,-1.0
16,81.0,2.0,84.0,0.0,-20.0,0.0,4.0,105.0,102.0,-1.0
17,106.0,0.0,107.0,-5.0,70.0,0.0,1.0,37.0,36.0,-1.0
18,78.0,0.0,82.0,1.0,-42.0,0.0,4.0,126.0,122.0,-1.0
19,101.0,0.0,102.0,0.0,72.0,8.0,1.0,30.0,28.0,-1.0
20,55.0,0.0,29.0,-674.0,-22.0,-1.0,-26.0,52.0,78.0,-1.0
21,79.0,3.0,83.0,0.0,-28.0,0.0,4.0,112.0,108.0,-1.0
22,79.0,4.0,83.0,0.0,-30.0,0.0,4.0,114.0,110.0,-1.0
23,82.0,0.0,86.0,5.0,-2.0,0.0,4.0,88.0,84.0,-1.0
24,102.0,2.0,102.0,0.0,70.0,-5.0,1.0,33.0,32.0,-1.0
25,81.0,0.0,84.0,0.0,-18.0,-9.0,3.0,103.0,100.0,-1.0
26,78.0,2.0,82.0,1.0,-40.0,14.0,4.0,123.0,120.0,-1.0
27,102.0,0.0,102.0,-2.0,70.0,-1.0,1.0,33.0,32.0,-1.0
28,78.0,0.0,82.0,-6.0,-40.0,1.0,4.0,123.0,120.0,-1.0
29,71.0,-3.0,75.0,-2.0,-40.0,18.0,4.0,116.0,112.0,-1.0
30,86.0,3.0,89.0,0.0,6.0,-15.0,3.0,84.0,80.0,-1.0
31,82.0,0.0,85.0,0.0,-10.0,-16.0,3.0,95.0,92.0,-1.0
32,82.0,0.0,86.0,0.0,-12.0,-2.0,3.0,99.0,96.0,-1.0
33,102.0,1.0,103.0,5.0,70.0,0.0,1.0,33.0,32.0,-1.0
34,82.0,4.0,86.0,0.0,-12.0,0.0,3.0,99.0,96.0,-1.0
35,75.0,3.0,79.0,1.0,-42.0,0.0,4.0,123.0,118.0,-1.0
36,103.0,3.0,104.0,0.0,70.0,0.0,1.0,34.0,34.0,-1.0
37,78.0,2.0,83.0,3.0,-40.0,16.0,4.0,124.0,120.0,-1.0
38,81.0,3.0,84.0,0.0,-14.0,-4.0,3.0,99.0,96.0,-1.0
39,104.0,0.0,104.0,-8.0,70.0,-9.0,1.0,35.0,34.0,-1.0
40,84.0,0.0,87.0,-1.0,0.0,6.0,3.0,87.0,84.0,-1.0
41,81.0,0.0,84.0,0.0,-20.0,23.0,4.0,105.0,102.0,-1.0
42,81.0,0.0,84.0,4.0,-14.0,-14.0,4.0,100.0,96.0,-1.0
43,107.0,3.0,108.0,0.0,70.0,-1.0,1.0,38.0,36.0,-1.0
44,104.0,4.0,105.0,5.0,70.0,0.0,1.0,35.0,34.0,-1.0
45,81.0,-1.0,85.0,0.0,-40.0,2.0,4.0,126.0,122.0,-1.0
46,78.0,1.0,83.0,1.0,-40.0,10.0,4.0,124.0,120.0,-1.0
47,82.0,0.0,86.0,-2.0,-40.0,9.0,4.0,128.0,124.0,-1.0
48,80.0,2.0,84.0,0.0,-38.0,0.0,4.0,123.0,118.0,-1.0
49,104.0,-1.0,106.0,0.0,70.0,0.0,1.0,36.0,34.0,-1.0
50,78.0,-5.0,82.0,0.0,-40.0,0.0,4.0,123.0,120.0,-1.0
51,105.0,-1.0,107.0,-4.0,70.0,-5.0,1.0,37.0,36.0,-1.0
52,102.0,0.0,102.0,0.0,70.0,-1.0,1.0,33.0,32.0,-1.0
53,80.0,-1.0,84.0,0.0,-20.0,6.0,4.0,105.0,100.0,-1.0
54,83.0,0.0,86.0,0.0,-4.0,4.0,3.0,92.0,88.0,-1.0
55,76.0,-2.0,81.0,0.0,-40.0,0.0,5.0,122.0,118.0,-1.0
56,81.0,2.0,84.0,0.0,-22.0,-3.0,3.0,108.0,104.0,-1.0
57,102.0,-1.0,103.0,0.0,72.0,23.0,1.0,31.0,30.0,-1.0
58,82.0,0.0,85.0,-1.0,-6.0,2.0,3.0,93.0,90.0,-1.0
59,85.0,0.0,88.0,0.0,-2.0,-5.0,3.0,91.0,88.0,-1.0
60,106.0,5.0,107.0,2.0,70.0,0.0,1.0,37.0,36.0,-1.0
61,107.0,0.0,108.0,0.0,72.0,7.0,1.0,36.0,34.0,-1.0
62,105.0,6.0,106.0,2.0,70.0,0.0,1.0,36.0,36.0,-1.0
63,84.0,0.0,88.0,-2.0,6.0,-7.0,5.0,83.0,78.0,-1.0
64,79.0,0.0,83.0,0.0,-30.0,9.0,4.0,114.0,110.0,-1.0
65,81.0,0.0,85.0,0.0,-22.0,31.0,4.0,108.0,104.0,-1.0
66,79.0,-5.0,83.0,0.0,-40.0,0.0,4.0,125.0,120.0,-1.0
67,79.0,0.0,83.0,0.0,-40.0,3.0,4.0,125.0,120.0,-1.0
68,80.0,-3.0,84.0,-8.0,-40.0,3.0,4.0,125.0,122.0,-1.0
69,85.0,2.0,88.0,2.0,-2.0,0.0,3.0,91.0,88.0,-1.0
70,105.0,-2.0,106.0,2.0,70.0,0.0,2.0,36.0,34.0,-1.0
71,83.0,1.0,86.0,0.0,-2.0,0.0,3.0,89.0,86.0,-1.0
72,83.0,0.0,86.0,0.0,-2.0,29.0,3.0,89.0,86.0,-1.0
73,79.0,0.0,83.0,0.0,-38.0,26.0,4.0,122.0,118.0,-1.0
74,80.0,0.0,84.0,0.0,-24.0,31.0,4.0,110.0,106.0,-1.0
75,105.0,5.0,106.0,0.0,70.0,0.0,1.0,36.0,34.0,-1.0
76,80.0,1.0,84.0,0.0,-36.0,1.0,4.0,121.0,116.0,-1.0
77,101.0,0.0,102.0,0.0,70.0,-4.0,1.0,33.0,32.0,-1.0
78,85.0,0.0,88.0,0.0,0.0,28.0,3.0,88.0,84.0,-1.0
79,102.0,0.0,103.0,7.0,70.0,-12.0,1.0,33.0,32.0,-1.0
80,84.0,0.0,87.0,-6.0,0.0,2.0,3.0,87.0,84.0,-1.0
81,102.0,-3.0,103.0,-7.0,72.0,22.0,1.0,31.0,30.0,-1.0
82,85.0,0.0,88.0,0.0,2.0,-12.0,3.0,86.0,82.0,-1.0
83,81.0,2.0,85.0,0.0,-24.0,0.0,4.0,111.0,108.0,-1.0
84,76.0,-4.0,81.0,0.0,-40.0,0.0,5.0,122.0,118.0,-1.0
85,85.0,0.0,88.0,-1.0,6.0,-5.0,3.0,83.0,80.0,-1.0
86,102.0,0.0,102.0,0.0,70.0,-4.0,1.0,33.0,32.0,-1.0
87,79.0,0.0,83.0,0.0,-32.0,9.0,4.0,117.0,112.0,-1.0
88,81.0,0.0,85.0,0.0,-24.0,0.0,4.0,111.0,108.0,-1.0
89,108.0,3.0,109.0,2.0,72.0,4.0,1.0,36.0,36.0,-1.0
90,81.0,0.0,84.0,0.0,-18.0,24.0,4.0,103.0,98.0,-1.0
91,102.0,0.0,103.0,0.0,72.0,8.0,1.0,31.0,30.0,-1.0
92,79.0,0.0,83.0,0.0,-42.0,1.0,4.0,127.0,122.0,-1.0
93,85.0,0.0,88.0,0.0,2.0,24.0,3.0,86.0,82.0,-1.0
94,83.0,0.0,86.0,0.0,-4.0,-4.0,4.0,92.0,88.0,-1.0
95,81.0,4.0,84.0,0.0,-14.0,4.0,3.0,100.0,96.0,-1.0
