,0,1,2,3,4,5,6,7,8,labels
0,53.0,2.0,86.0,0.0,52.0,-3.0,33.0,34.0,2.0,-1.0
1,41.0,0.0,88.0,0.0,38.0,-23.0,48.0,50.0,2.0,-1.0
2,37.0,0.0,77.0,-5.0,36.0,20.0,40.0,41.0,0.0,-1.0
3,46.0,0.0,93.0,5.0,46.0,0.0,48.0,47.0,0.0,-1.0
4,43.0,0.0,76.0,0.0,44.0,28.0,32.0,32.0,0.0,-1.0
5,55.0,0.0,86.0,-7.0,54.0,0.0,31.0,32.0,0.0,-1.0
6,45.0,-4.0,84.0,0.0,44.0,-19.0,38.0,40.0,2.0,-1.0
7,37.0,0.0,80.0,0.0,16.0,4.0,43.0,65.0,22.0,-1.0
8,50.0,0.0,86.0,-5.0,50.0,0.0,35.0,37.0,2.0,-1.0
9,43.0,0.0,108.0,-5.0,42.0,-16.0,64.0,66.0,2.0,-1.0
10,51.0,0.0,85.0,2.0,50.0,0.0,34.0,36.0,2.0,-1.0
11,45.0,0.0,78.0,0.0,46.0,9.0,33.0,32.0,0.0,-1.0
12,37.0,0.0,77.0,0.0,16.0,29.0,41.0,62.0,22.0,-1.0
13,48.0,2.0,94.0,2.0,46.0,0.0,46.0,48.0,2.0,-1.0
14,50.0,-4.0,81.0,0.0,50.0,0.0,30.0,32.0,2.0,-1.0
15,46.0,0.0,82.0,-7.0,46.0,0.0,36.0,35.0,0.0,-1.0
16,45.0,-1.0,86.0,0.0,46.0,2.0,40.0,39.0,0.0,-1.0
17,46.0,0.0,88.0,0.0,46.0,11.0,43.0,42.0,0.0,-1.0
18,37.0,-1.0,78.0,-3.0,20.0,-7.0,42.0,57.0,16.0,-1.0
19,41.0,0.0,82.0,0.0,38.0,-4.0,41.0,43.0,2.0,-1.0
20,55.0,-3.0,90.0,0.0,54.0,0.0,35.0,35.0,0.0,-1.0
21,37.0,0.0,76.0,0.0,34.0,30.0,39.0,42.0,2.0,-1.0
22,51.0,0.0,82.0,0.0,50.0,-17.0,31.0,33.0,2.0,-1.0
23,43.0,-2.0,87.0,0.0,42.0,-22.0,44.0,46.0,2.0,-1.0
24,40.0,-5.0,86.0,0.0,38.0,0.0,46.0,47.0,2.0,-1.0
25,38.0,-3.0,80.0,0.0,38.0,0.0,42.0,41.0,0.0,-1.0
26,43.0,0.0,102.0,0.0,44.0,18.0,59.0,58.0,0.0,-1.0
27,37.0,-2.0,105.0,0.0,34.0,0.0,68.0,71.0,4.0,-1.0
28,66.0,0.0,112.0,-1.0,68.0,6.0,46.0,45.0,0.0,-1.0
29,55.0,0.0,108.0,1.0,54.0,-1.0,53.0,54.0,2.0,-1.0
30,37.0,0.0,95.0,0.0,16.0,-6.0,58.0,80.0,22.0,-1.0
31,43.0,0.0,76.0,0.0,42.0,-15.0,32.0,34.0,2.0,-1.0
32,51.0,0.0,86.0,0.0,50.0,-23.0,35.0,37.0,2.0,-1.0
33,37.0,0.0,78.0,0.0,36.0,-6.0,41.0,42.0,2.0,-1.0
34,45.0,-4.0,76.0,0.0,44.0,0.0,31.0,32.0,2.0,-1.0
35,52.0,-4.0,77.0,0.0,52.0,0.0,26.0,26.0,0.0,-1.0
36,43.0,0.0,83.0,0.0,42.0,-14.0,39.0,41.0,2.0,-1.0
37,37.0,-1.0,78.0,-3.0,2.0,-10.0,41.0,75.0,34.0,-1.0
38,37.0,0.0,94.0,-2.0,12.0,0.0,57.0,81.0,24.0,-1.0
39,49.0,-1.0,87.0,5.0,50.0,0.0,38.0,38.0,0.0,-1.0
40,37.0,0.0,97.0,0.0,12.0,0.0,59.0,84.0,24.0,-1.0
41,51.0,0.0,87.0,0.0,52.0,29.0,36.0,35.0,0.0,-1.0
42,38.0,2.0,94.0,0.0,34.0,0.0,56.0,61.0,4.0,-1.0
43,37.0,0.0,83.0,0.0,8.0,6.0,47.0,75.0,28.0,-1.0
44,37.0,0.0,77.0,0.0,38.0,17.0,39.0,38.0,0.0,-1.0
45,45.0,-3.0,83.0,0.0,44.0,0.0,38.0,39.0,0.0,-1.0
46,37.0,0.0,108.0,0.0,36.0,0.0,71.0,72.0,0.0,-1.0
